,id,name,picture_url
0,1009286,Earthquake,http://i.annihil.us/u/prod/marvel/i/mg/2/90/4c003f153b571jpg
1,1010785,Echo,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4c00373a2629fjpg
2,1010787,Eddie Brock,http://i.annihil.us/u/prod/marvel/i/mg/9/80/4de932f1a298ajpg
3,1009396,Eddie Lau,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
4,1010999,"Edward ""Ted"" Forrester",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
5,1011072,Edwin Jarvis,http://i.annihil.us/u/prod/marvel/i/mg/5/40/4c0030e231f6bjpg
6,1011060,Ego,http://i.annihil.us/u/prod/marvel/i/mg/c/d0/535fec6d62b7fjpg
7,1009287,Electro,http://i.annihil.us/u/prod/marvel/i/mg/5/60/4c003f1214bd7jpg
8,1010922,Electro (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4c0034491f280jpg
9,1009288,Elektra,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/51114fec4a2c8jpg
10,1010923,Elektra (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/5/03/53176bc813157jpg
11,1010355,Elements of Doom,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
12,1009290,Elite,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
13,1011082,Elixir,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/52740e1b4ad81jpg
14,1011122,Elloe Kaifi,http://i.annihil.us/u/prod/marvel/i/mg/4/50/5269559c8d0c9jpg
15,1010701,Elsa Bloodstone,http://i.annihil.us/u/prod/marvel/i/mg/e/b0/4c0038ccbe4fajpg
16,1017858,Emily Bright (Emily Bright),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
17,1009310,Emma Frost,http://i.annihil.us/u/prod/marvel/i/mg/9/80/51151ef7cf4c8jpg
18,1009291,Empath,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4ce59faf350eajpg
19,1009292,Emplate,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4bb3bcffb8325jpg
20,1010671,Enchantress (Amora),http://i.annihil.us/u/prod/marvel/i/mg/3/10/52740e0f3c733jpg
21,1011432,Enchantress (Sylvie Lushton),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
22,1011313,Ender Wiggin,http://i.annihil.us/u/prod/marvel/i/mg/c/90/4ce154e96ec1ejpg
23,1010445,Energizer,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
24,1011065,Epoch,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c0030f453da3jpg
25,1009293,Erik the Red,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
26,1010807,Eternals,http://i.annihil.us/u/prod/marvel/i/mg/9/30/539f0bda709d0jpg
27,1011061,Eternity,http://i.annihil.us/u/prod/marvel/i/mg/b/90/4c0030fff0e3djpg
28,1010771,Excalibur,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/4c00374eb5d5djpg
29,1012378,Executioner (Skurge),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
30,1009294,Exiles,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/4ce59fbab92f5jpg
31,1009295,Exodus,http://i.annihil.us/u/prod/marvel/i/mg/e/20/52695589e1721jpg
32,1009296,Expediter,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_availablejpg
33,1011199,Ezekiel,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c002f2268bd4jpg
34,1011317,Ezekiel Stane,http://i.annihil.us/u/prod/marvel/i/mg/c/50/4ce5a64fd283ajpg
